actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"MJ Rodriguez,Dominique Jackson,Indya Moore",2018 - 2021, U.S.A.,"Au coeur des années 1980 à New York, alors que le luxe de l'ère Trump est en pleine émergence et que le sida commence à faire des ravages, Blanca Rodriguez sert de mère adoptive à de jeunes gays et trans qui rêvent de faire carrière dans le monde des arts.",Drame,,,26,3,4.2,5.0,"Ryan Murphy,Brad Falchuk,Steven Canals",Terminée,52 min,Pose,
"Caitriona Balfe,Caitriona Balfe,Sam Heughan",Depuis 2014, U.S.A.,"Les aventures de Claire, une infirmière de guerre mariée qui se retrouve accidentellement propulsée en pleine campagne écossaise de 1743. Elle se retrouve alors mêlée à des histoires de propriétés et d'espionnage qui la poussent à prendre la fuite et menacent sa vie. Elle est alors forcée d'épouser Jamie, un jeune guerrier écossais passionné qui s'enflamme pour elle et la conduit à être déchirée entre fidélité et désir, étant partagée entre deux hommes dramatiquement opposés et deux vies irréconciliables.","Fantastique,Historique,Romance",,,101,8,3.7,4.2,Ronald D. Moore,En cours,42 min,Outlander,
"Teri Polo,Teri Polo,Sherri Saum",2013 - 2018, U.S.A.,"Un couple de lesbiennes - l'une est policière, l'autre enseignante dans une école privée - sont les heureuses mamans de trois enfants : un fils biologique et des jumeaux adoptés, une fille et un garçon. Leur équilibre familial est bousculé lorsqu'elles accueillent une adolescente rebelle au sein de leur foyer...","Drame,Famille",,,104,5,4.2,5.0,"Peter Paige,Bradley Bredeweg",Terminée,42 min,The Fosters,
"Vera Farmiga,Freddie Highmore,Max Thieriot",2013 - 2017, U.S.A.,"Après la mort mystérieuse de son mari, Norma Bates décide de refaire sa vie loin de l'Arizona, dans la petite ville de White Pine Bay dans l'Oregon, et emmène avec elle son fils Norman, âgé de 17 ans. Elle rachète là-bas un vieux motel abandonné depuis de nombreuses années, ainsi que le manoir qui trône majestueusement quelques mètres plus loin. La mère et le fils partagent depuis toujours une relation complexe, presque incestueuse. Des événements tragiques vont les pousser à se rapprocher encore davantage. Ils partagent désormais ensemble un lourd secret...","Policier,Drame,Thriller",,,50,5,2.8,4.2,Anthony Cipriano,Terminée,42 min,Bates Motel,
"Margaret Qualley,Nick Robinson,Rylea Nevaeh Whittet",2021, U.S.A.,Une mère célibataire qui a du mal à joindre les deux bouts trouve un emploi comme femme de ménage...,Drame,,,10,1,3.6,4.2,Molly Smith Metzler,Terminée,50 min,Maid,
"Kerry Washington,Darby Stanchfield,Katie Lowes",2012 - 2018, U.S.A.,"La vie professionnelle et personnelle d'une experte en relations publiques, Olivia Pope, particulièrement réputée pour sa gestion des crises, et de son staff, composé d'avocats débutants et confirmés, d'un expert en litige, d'un hacker et d'une détective. Fitzgerald Grant, le président des Etats-Unis, est un vieil ami d'Olivia qui demande son aide lorsqu'une de ses assistantes fait courir le bruit qu'ils couchent ensemble. Et ce n'est que le début d'un scandale bien plus grand aux répercussions désastreuses...",Drame,,,124,7,4.2,5.0,Shonda Rhimes,Terminée,42 min,Scandal,
,2014 - 2015, U.S.A.,"Les amours, les joies et les peines de trois amis gays à San Francisco. Entre regrets, valses hésitations et autres impulsions du moment, Patrick, Agustin et Dom partagent leurs déceptions, leurs rêves, leurs désirs, la vie en somme.","Comédie dramatique,Drame",,,19,2,3.4,4.2,Michael Lannan,Annulée,30 min,Looking,
"Amy Adams,Patricia Clarkson,Chris Messina",Depuis 2018, U.S.A.,"Camille Preaker, reporter, sort tout juste d'un bref séjour à l'hôpital psychiatrique. Elle retourne dans la ville de son enfance pour tenter de résoudre le meurtre de deux jeunes adolescentes auxquelles elle s'identifie énormément...","Policier,Drame,Thriller",,,8,1,4.2,4.2,,Terminée,50 min,Sharp Objects,
"T.K. Carter,Khandi Alexander,Sean Nelson (II)",2000, U.S.A.,"DeAndre McCullough vit avec sa mère et son père, tous deux toxicomanes.","Drame,Judiciaire",,,6,1,4.2,4.5,David Simon (II),Terminée,60 min,The Corner,
"Ji-hoon Ju,Ryu Seung-Ryong,Doona Bae",Depuis 2019, Corée du Sud,"Dans un royaume rongé par la corruption et la famine, un mystérieux fléau se propage et les morts se transforment en monstres. Le prince héritier, accusé de trahison mais prêt à tout pour sauver son peuple, se donne pour mission de découvrir l'origine de ce mal qui sévit dans l'ombre.","Historique,Epouvante-horreur,Thriller",,,12,2,4.2,5.0,Seong Hun Kim,En cours,60 min,Kingdom,
"Michael Peña,Scoot McNairy,José Maria Yazpik",2018 - 2021," U.S.A., Mexique","Dans les années 80, Félix Gallardo prend la tête du cartel de Guadalajara. Son but est alors d'en faire un véritable empire en rassemblant les différents trafiquants indépendants. Lorsque l'agent de la DEA Kiki Camarena quitte la Californie pour le Mexique afin d'arrêter Gallardo, il se rend vite compte que sa tâche sera bien plus difficile que prévu. Alors qu'il s'enlise dans sa mission, une série d'évènements tragiques se produit, affectant ainsi le commerce de la drogue et la guerre contre celle-ci.","Biopic,Policier,Drame",,,30,3,4.1,4.2,"Carlo Bernard,Doug Miro,Chris Brancato",Terminée,60 min,Narcos: Mexico,
