actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Vincent Lindon,Niels Schneider,Ramzy Bedia",2023 - 2024, France,"L'arnaque du siècle, survenue en France et en Europe entre 2008 et 2009. Des milliards partis en fumée sur le nouveau marché financier des ""quotas carbone"" inventé pour lutter contre le réchauffement climatique. L’association d’escrocs de Belleville avec un trader des beaux quartiers, traqués par un enquêteur obsessionnel. Quand les passions humaines se déchaînent au-delà du simple intérêt.","Drame,Thriller",,,12,1,4.0,4.3,Xavier Giannoli,Terminée,52 min,D'argent et de sang,
"Volker Bruch,Volker Bruch,Liv Lisa Fries",2017 - 2022, Allemagne,"Plongé au cœur des années 1920 sous la République de Weimar en Allemagne, le commissaire Geeron Rath est muté à la brigade des mœurs de Berlin afin de démanteler un réseau de films pornographiques appartenant à la mafia russe. Aidé du lieutenant à l’éthique douteuse Bruno Wolter et la jeune secrétaire ambitieuse Charlotte Ritter, l'équipe tente d'élucider l'enquête en jonglant avec les implications politiques et diplomatiques.","Policier,Drame,Thriller",,,40,5,4.3,5.0,"Tom Tykwer,Hendrik Handloegten",Terminée,45 min,Babylon Berlin,
"Emily VanCamp,Madeleine Stowe,Joshua Bowman",2011 - 2015, U.S.A.,"Une jeune femme retourne vivre dans les Hamptons où elle a passé une partie de son enfance. Sous le pseudonyme d'Emily Thorne, elle a la ferme intention de détruire ceux qui ont brisé son innocence et gâché la vie de son père. Elle est prête à tout pour le venger...",Drame,,,89,4,4.3,4.5,Mike Kelley,Annulée,42 min,Revenge,
"Camille Cottin,Thibault de Montalembert,Grégory Montel",2015 - 2020, France,"Quatre agents de comédiens, aux personnalités hautes en couleur et aux vies personnelles compliquées, se battent au quotidien pour trouver les meilleurs rôles pour leurs prestigieux clients. Quand Camille, la fille illégitime de l'un d'entre eux, débarque à Paris pour chercher un boulot, cette dernière est alors plongée dans le quotidien mouvementé de l'agence et nous fait découvrir à travers son regard naïf les dessous de la célébrité...",Comédie,,,24,4,3.9,4.3,Fanny Herrero,Terminée,52 min,Dix Pour Cent,
"So-Hee Han,Ahn Bo Hyun,Sang-ho Kim",2021, Corée du Sud,"Motivée par la vengeance, une femme rejoint un réseau criminel et devient une policière infiltrée afin de trouver le meurtrier de son père.","Action,Thriller",,,8,1,4.3,4.0,Kim Jin-min,Terminée,50 min,My Name,
"Lisette Pagler,Pia Halvorsen,Johan Paulsen",2012 - 2014, Suède,"Äkta Människor (""les véritables humains"") se situe dans un monde parallèle où les robots humanoïdes (Hubot) sont devenus des machines courantes dans la société. Ces Hubots sont très réalistes et sont configurés de telle sorte à remplir une large demande. S'adaptant à tous les besoins humains, de la simple tâche ménagère à des activités plus dangereuses voire illégales, la société semble en dépendre. Une partie de la population refuse alors l'intégration de ces robots tandis que les machines manifestent des signes d'indépendance et de personnalité propre.",Science Fiction,,,20,2,4.3,4.5,Lars Lundström,Terminée,55 min,Real Humans,
"Thierry Bourdon,Jun Fukuyama,Adrien Solis",2006 - 2008, Japon,"En 2017, le Japon vit sous le joug de l'empire de Britannia. Rebaptisé ""Zone Eleven"", le pays subit quotidiennement la terreur de l'occupant qui réprime toute sédition grâce à ses armées de Mécas, les ""Nightmare Frames"". Mais le jour de la révolte a peut-être sonné lorsqu'un jeune étudiant du nom de Lelouch Lamperouge va se retrouver accidentellement impliqué dans un attentat terroriste. Alors qu'il aurait dû mourir, Lelouch va au contraire survivre, et même hériter d'un mystérieux pouvoir, le ""Geass"", qui donne à celui qui le détient la possibilité de contrôler la volonté d'autrui. Ce pouvoir permettra-t-il à Lelouch de faire vaciller l'empire de Britannia ?","Action,Animation,Science Fiction",,,50,2,4.3,5.0,Ichiro Okouchi,Terminée,24 min,Code Geass,
"Eva Green,Josh Hartnett,Timothy Dalton",2014 - 2016," U.S.A., Grande-Bretagne, Irlande","Dans le Londres de l'époque Victorienne, Vanessa Ives, une jeune femme puissante aux pouvoirs hypnotiques, allie ses forces à celles d'Ethan, un garçon rebelle et violent aux allures de cowboy, et de Sir Malcolm, un vieil homme riche aux ressources inépuisables. Ensemble, ils combattent un ennemi inconnu, presque invisible, qui ne semble pas humain et qui massacre la population...","Policier,Drame,Epouvante-horreur",,,27,3,3.3,4.3,John Logan,Terminée,52 min,Penny Dreadful,
"Josh Radnor,Jason Segel,Alyson Hannigan",2005 - 2014, U.S.A.,"Ted se remémore ses jeunes années, lorsqu'il était encore célibataire. Il raconte à ses enfants avec nostalgie ses moments d'égarements et de troubles, ses rencontres et ses recherches effrénées du Grand Amour et les facéties de sa bande d'amis...",Comédie,,,208,9,4.3,5.0,"Craig Thomas,Carter Bays",Terminée,22 min,How I Met Your Mother,
"Vicky McClure,Joseph Gilgun,Andrew Shim",2010, Grande-Bretagne,"1986 : Top Gun triomphe dans les salles, la Coupe du Monde de football bat son plein au Mexique, Queen joue à Wembley, Margaret Thatcher est Premier Ministre… et le Royaume-Uni compte 3,4 millions de chômeurs. 1986, c’est aussi l’année où le jeune Shaun quitte l’école et retrouve la bande d’amis avec qui il trainait trois ans plus tôt. À l’époque, il n’était qu’un jeune garçon, devenu malgré lui la mascotte d’ados flirtant avec la mouvance skinhead. Aujourd’hui ado lui-même, il ne rêve que de deux choses : avoir un scooter et une copine ! ",Drame,,,4,1,4.3,4.5,,Terminée,52 min,This Is England '86,
"Charlie Cox,Deborah Ann Woll,Elden Henson",2015 - 2018, U.S.A.,"Aveugle depuis l’enfance, mais doté de sens incroyablement développés, Matt combat l’injustice le jour en tant qu’avocat et la nuit en surveillant les rue de Hell’s Kitchen, à New York, dans le costume du super-héros Daredevil.","Action,Drame,Fantastique",,,39,3,4.0,4.3,Drew Goddard,Annulée,52 min,Marvel's Daredevil,
"Jennifer Jason Leigh,Keir Gilchrist,Brigette Lundy-Paine",2017 - 2021, U.S.A.,"En quête d'amour et d'indépendance, Sam, un jeune autiste de 18 ans découvre les aléas du passage à l'âge adulte. À la fois drôle et douloureux, ce cheminement à la découverte de lui-même bouleverse toute sa famille dont les membres, confrontés aux changements qui affectent leur propre existence, se posent cette question fondamentale : que signifie être normal ?","Comédie,Drame",,,38,4,3.5,4.3,Robia Rashid,Terminée,30 min,Atypical,
"Danielle Cormack,Jacqueline Brennan,Nicole Da Silva",2013 - 2021, Australie,"Condamnée, Bea Smith doit laisser sa fille derrière elle et découvre le monde de Wentworth, une prison de femmes australienne...",Drame,,,58,8,4.3,5.0,"Reg Watson,Lara Radulovich",En cours,43 min,Wentworth,
"Pedro Pascal,Bella Ramsey",Depuis 2023, U.S.A.,"Quand le monde tel que vous le connaissiez n'existe plus, quand la ligne entre le bien et le mal devient floue, quand la mort se manifeste au quotidien, jusqu'où iriez-vous pour survivre ? Pour Joel, la survie est une préoccupation quotidienne qu'il gère à sa manière. Mais quand son chemin croise celui d'Ellie, leur voyage à travers ce qui reste des États-Unis va mettre à rude épreuve leur humanité et leur volonté de survivre.","Action,Aventure,Drame,Epouvante-horreur",,,16,2,4.3,4.3,"Neil Druckmann,Craig Mazin",En cours,60 min,The Last Of Us,
"Florian Hessique,Pascal Légitimus,Smaïn Fairouze",Depuis 2015, France,"Paul, jeune chauffeur de VTC peu dégourdi, fainéant, prétentieux et légèrement penché sur la bouteille, accueille dans son véhicule des personnes et personnalités de toutes sortes. Jamais à cours d'idées pour converser avec ses clients et dire tout mais surtout n'importe quoi, notre chauffeur met inévitablement les pieds dans le plat. Il lui arrivera même de ne pas reconnaitre certaines personnalités ou de les confondre avec d'autres. Des situations drôles et décalées pour le meilleur et surtout pour le rire.",Comédie,,,85,3,4.0,4.3,Florian Hessique,En cours,3 min,A votre service,
"Kubilay Aka,Mert Yazıcıoğlu,Alina Boz",Depuis 2020, Turquie,"Dans les années 1990 en Turquie, un groupe d'adolescents marginalisés manigancent pour que leur prof adorée tombe amoureuse et choisisse de ne pas quitter leur ville.","Comédie,Romance",,,16,2,4.3,5.0,Meriç Acemi,En cours,40 min,Love 101,
"Kit Connor,Kit Connor,Joe Locke",Depuis 2022, Grande-Bretagne,"Partageant une passion commune pour le rugby, les deux adolescents Charlie et Nick deviennent vite amis. Le premier tombe bientôt amoureux de son camarade, même s’il pense qu’il n’a aucune chance.","Drame,Romance",,,24,3,4.2,4.3,Alice Oseman,En cours,30 min,Heartstopper,
"Kohei Kiyasu,Kohei Kiyasu,Tomokazu Seki",2000 - 1970, Japon,"Lycéen timide et souffre-douleur rêvé pour les bourreaux qui lui servent de camarades de classe, Ippo Makunouchi a pris l'habitude de subir chaque jour diverses humiliations physiques et morales. Le jeune homme, qui occupe tout son temps libre à venir en aide à sa mère au magasin de pêche familial, n'a guère le temps de se faire des amis. Le jour où il rencontre un boxeur du nom de Mamoru Takamura qui le sauve des poings d'une bande de voyous, il se prend d'admiration pour son sauveur et ses aptitudes au combat. Consumé par son désir de devenir fort et de pouvoir enfin faire face à un quotidien qui lui échappe, Ippo se lance corps et âme dans sa nouvelle raison de vivre : la boxe.","Action,Animation",,,127,3,4.3,5.0,,Terminée,25 min,Hajime no Ippo : The fighting,
"Sharon Rooney,Jodie Comer,Jordan Murphy",2013 - 2015, Grande-Bretagne,"La vie de Rae, une adolescente obèse de 16 ans, dans les années 1990. Très enjouée, malgré la présence d'une mère très excentrique, la jeune fille a hâte de vivre sa vie, de découvrir l'amour et... de s'envoyer en l'air !",Comédie dramatique,,,16,3,4.3,4.0,,Terminée,45 min,Journal d'une ado hors norme,
"Pedro Pascal,Katee Sackhoff",Depuis 2019, U.S.A.,"Après les aventures de Jango et Boba Fett, un nouveau héros émerge dans l'univers Star Wars. L'intrigue, située entre la chute de l'Empire et l'émergence du Premier Ordre, suit les voyages d'un chasseur de primes solitaire dans les contrées les plus éloignées de la Galaxie, loin de l’autorité de la Nouvelle République.","Aventure,Science Fiction",,,24,4,3.3,4.3,Jon Favreau,En cours,40 min,The Mandalorian,
"H. Jon Benjamin,H. Jon Benjamin,Judy Greer",2009 - 2023, U.S.A.,"Au sein d'une agence d'espionnage international, des agents surentraînés n'ont de cesse de déstabiliser, humilier et tromper leurs collègues.","Action,Animation,Comédie",,,142,14,4.3,5.0,Adam Reed (III),Terminée,22 min,Archer (2009),
"Daniel Ezra,Daniel Ezra, Bre-Z",Depuis 2018, U.S.A.,"Spencer James, un jeune athlète issu des quartiers difficiles de la banlieue de Los Angeles, est recruté par le prestigieux Beverly Hills High, afin qu'il rejoigne l'équipe de football américain du lycée. Tout en tentant de s'adapter à ce nouvel environnement très aisé, au sein duquel il n'est pas forcément le bienvenu, Spencer débute alors une nouvelle vie, qui le mènera petit à petit, mais non sans embûches, vers son rêve : devenir footballeur professionnel.","Biopic,Drame",,,119,7,4.3,5.0,April Blair,En cours,42 min,All American,
"Edvin Ryding,Omar Rudberg,Malte Gårdinger",2021 - 2024, Suède,"Quand le prince Wilhelm arrive dans le prestigieux internat d'Hillerska, il y voit enfin l'occasion de découvrir qui il est vraiment et le genre de vie qu'il souhaite mener. Wilhelm se prend a rêver d'un futur où il jouirait d'une pleine liberté et d'un amour inconditionnel, dégagé de toute obligation royale. Mais quand il se retrouve soudainement premier dans l'ordre de succession au trône, le dilemme prend une toute autre ampleur et il lui faut choisir entre son amour et son devoir.",Drame,,,18,3,4.3,4.0,Lisa Ambjörn,Terminée,45 min,Young Royals,
"Alexandre Coadour,Jun Fukuyama,Bastien Bourlé",2015 - 2016, Japon,"Un extraterrestre destructeur qui menace la Terre devient professeur d'une classe dont les élèves ont pour mission de le supprimer, alors même qu'ils adorent sa drôlerie.","Animation,Comédie,Science Fiction",,,47,2,4.3,5.0,,Terminée,23 min,Assassination Classroom,
"Sarah Lancashire,Sarah Lancashire,James Norton",2014 - 2023, Grande-Bretagne,"Catherine Cawood, mène une vie qui n’est pas de tout repos. Elle occupe la fonction d'agent de police dans le Yorkshire. Divorcée, elle élève le jeune fils de sa fille et tente de se remettre de son suicide survenu huit ans plus tôt. Alors qu'elle semble finalement reprendre le dessus, elle apprend que Tommy Lee Royce, l'homme qu'elle juge responsable de ce suicide, sort de prison ayant purgé une peine pour d'autres faits. Parallèlement, Kevin Weatherill, un agent comptable, s’allie à une organisation criminelle pour préparer le rapt de la fille de son patron Nevison Gallagher qui a refusé de lui accorder une augmentation...","Policier,Drame",,,18,3,4.3,5.0,Sally Wainwright,Terminée,60 min,Happy Valley,
"Darren Criss,Sarah Paulson,Beanie Feldstein",Depuis 2016, U.S.A.,Cette série d'anthologie dans la veine d',"Drame,Judiciaire",,,39,4,4.7,4.3,"Ryan Murphy,Larry Karaszewski",En cours,42 min,American Crime Story,
"Kaitlyn Dever,Toni Collette,Merritt Wever",Depuis 2019, U.S.A.,"L'histoire vraie de Marie, une adolescente accusée d'avoir menti sur le fait d'avoir été violée, et de l'enquête menée par deux détectives.","Policier,Drame,Thriller",,,8,1,4.6,4.3,Susannah Grant,Terminée,,Unbelievable,
"Frank Grillo,Kiele Sanchez,Matt Lauria",2014 - 2017, U.S.A.,"Venice, Californie : la salle d’entraînement d’Alvey Kulina est en danger. Si cet ancien champion ne recrute pas rapidement de nouveaux membres pour son club de MMA, il devra mettre la clef sous la porte. La victoire étant la meilleure des publicités, Alvey entraîne donc son fils cadet, le timide Nate, pour un prochain combat prestigieux. Sa préparation est toutefois perturbée par le retour de Ryan, son ancien protégé qui sort tout juste de prison. Aujourd’hui débarrassé de ses addictions, celui-ci veut reprendre la compétition. C’est alors qu’il va découvrir que Lisa, son ex, vit maintenant avec Alvey…","Action,Drame",,,40,3,4.3,5.0,Byron Balasco,Terminée,42 min,Kingdom,
"Ralph Macchio,Ralph Macchio,William Zabka",Depuis 2018, U.S.A.,"Une suite de ""Karaté Kid"" se déroulant de nos jours, plus de trois décennies après les événements du film. Johnny, qui cherche la rédemption, rouvre le dojo Cobra Kai et relance sa rivalité avec Daniel. Les deux hommes vont être confrontés aux démons du passé et aux frustrations du présent.","Action,Drame,Arts Martiaux",,,65,6,3.8,4.3,"Josh Heald,Jon Hurwitz",En cours,27 min,Cobra Kai,
"Junya Enoki,Yuma Uchida,Yuichi Nakamura",Depuis 2020, Japon,"Plus de 10 000 morts et disparus sont recensés chaque année au Japon. Les sentiments négatifs que relâchent les êtres humains sont en cause. Souffrance, regrets, humiliation : leur concentration dans un même endroit engendre des malédictions souvent mortelles... C'est ce que va découvrir Yuji Itadori, lycéen et membre du club d'occultisme. Il ne croit pas aux fantômes, mais il est doté d'une force physique hors norme qui représente un véritable atout pour les missions du groupe... jusqu'à ce que l'une d'elles prenne une mauvaise tournure. La relique qu'ils dénichent, le doigt découpé d'un démon millénaire, attire les monstres ! Sans réfléchir : le jeune homme avale la relique pour briser la malédiction ! Maintenant, il se trouve possédé par Ryômen Sukuna, le célèbre démon à deux visages. Cependant, contre toute attente, Yuji est toujours capable de garder le contrôle de son corps. Mais en dépit de cela, il est condamné à mort par l'organisation des exorcistes... Une décision qui ne pourra être repoussée qu'à une seule condition : trouver tous les doigts de Sukuna afin d'écarter la menace une bonne fois pour toutes !","Action,Aventure,Animation",,,47,3,4.3,4.5,,En cours,24 min,Jujutsu Kaisen,
"Charlie Hunnam,Katey Sagal,Kim Coates",2008 - 2014, U.S.A.,"Afin de protéger leur ville des dealers et des entrepreneurs locaux, les membres d'un club de motos sont prêts à tout. Jax Teller est partagé entre l'amour qu'il porte à sa confrérie et l'appréhension grandissante qu'il nourrit en voyant l'anarchie et le banditisme qui règne dans son club...","Policier,Drame,Thriller",,,92,7,4.3,5.0,Kurt Sutter,Terminée,42 min,Sons of Anarchy,
"Tyler Posey,Dylan O'Brien,Holland Roden",2011 - 2017, U.S.A.,"Scott McCall est un adolescent tout ce qu'il y a de plus ordinaire. Il n'est pas le plus populaire de son lycée, il n'en est pas la risée non plus... Un soir, son meilleur ami Stiles le convainc de suivre en cachette les recherches de la police pour retrouver un corps dans les bois alentours. Au cours de cette expédition, il se retrouve nez à nez avec une bête étrange et particulièrement féroce. Il échappe de peu à cette attaque et, chanceux, avec une seule blessure: une vilaine morsure. Le lendemain, Scott se sent bizarre. Sans qu'il ne le sache encore, sa vie vient de changer. Il est devenu un loup-garou...","Drame,Fantastique",,,100,6,3.9,4.3,Jeff Davis (V),Terminée,42 min,Teen Wolf,
"Steven Yeun,J.K. Simmons,Sandra Oh",Depuis 2021, U.S.A.,"Après avoir découvert que son père est le super-héros le plus puissant du monde, un ado développe lui aussi des pouvoirs et décide de suivre les traces de son géniteur.","Action,Aventure,Animation,Fantastique",,,17,3,3.7,4.3,Robert Kirkman,En cours,52 min,Invincible,
"Aaron LaPlante,Aaron LaPlante,Tom Kenny",Depuis 2019, U.S.A.,L'amitié improbable entre un homme des cavernes à l'aube de l'évolution et un dinosaure dont l'espèce est sur le point de s'éteindre. Les deux s'unissent pour leur survie dans un monde primaire et violent.,"Action,Animation,Comédie",,,30,3,4.3,5.0,Genndy Tartakovsky,En cours,30 min,Primal,
"Imelda Staunton,Jonathan Pryce,Elizabeth Debicki",2016 - 2023," U.S.A., Grande-Bretagne","La série se concentre sur la Reine Elizabeth II, alors âgée de 25 ans et confrontée à la tâche démesurée de diriger la plus célèbre monarchie du monde tout en nouant des relations avec le légendaire premier ministre Sir Winston Churchill. L’empire britannique est en déclin, le monde politique en désarroi… une jeune femme monte alors sur le trône, à l’aube d’une nouvelle ère.","Biopic,Drame,Historique",,,60,6,3.8,4.3,"Peter Morgan,Stephen Daldry",Terminée,58 min,The Crown,
"Jim Caviezel,Michael Emerson,Kevin Chapman",2011 - 2016, U.S.A.,"Un agent paramilitaire de la CIA, présumé mort, est recruté par un millionnaire reclu pour travailler sur un projet top-secret : prévenir le crime avant qu'il ne se produise ! Un ingénieux programme élaboré par Finch identifie chaque jour des personnes qui vont être impliquées dans un crime. Victime ou coupable ? Reese va devoir mener l'enquête pour découvrir qui est en danger et empêcher qu'un nouveau meurtre soit commis...","Action,Policier,Thriller",,,103,5,3.5,4.3,,Terminée,42 min,Person Of Interest,
"Steve Buscemi,Kelly Macdonald,Michael Shannon",2010 - 2014, U.S.A.,"La chronique sombre et violente du développement d'Atlantic City dans les années 20, lors de l'émergence des premiers casinos dans un climat de Prohibition, qui donnera naissance à la Pègre. Nucky Thompson, le trésorier du parti Républicain -qui dirige la ville- est en réalité celui qui tire toutes les ficelles et qui joue sur plus d'un tableau à la fois pour arriver à ses fins. Argent sale et corruption sont au rendez-vous, en passant par Chicago et New York...","Policier,Drame,Historique",,,56,5,4.6,4.3,,Terminée,45 min,Boardwalk Empire,
"Aden Young,Abigail Spencer,J. Smith-Cameron",2013 - 2016, U.S.A.,"Après 19 années passées en prison pour viol et meurtre, Daniel Holden est finalement disculpé grâce à des analyses ADN. De retour dans sa ville natale, cet homme, qui n'avait que 18 ans lorsqu'il avait été emprisonné et condamné à mort, tente de se reconstruire une nouvelle vie. Pas évident quand ton entourage te considère toujours comme un criminel et qu'on a passé ces dernières années à attendre la mort !",Drame,,,30,4,4.3,5.0,Ray McKinnon,Terminée,42 min,Rectify,
"Hugh Dancy,Mads Mikkelsen,Gillian Anderson",2013 - 2015, U.S.A.,"La relation étrange entre le célèbre psychiatre Hannibal Lecter et l'un de ses patients, un jeune profiler du FBI nommé Will Graham, torturé par sa fascination dévorante pour les serial killers...","Drame,Thriller",,,39,3,3.3,4.3,,Annulée,42 min,Hannibal,
"Robin Renucci,Robin Renucci,Audrey Fleurot",2009 - 2017, France,"En juin 40, Villeneuve, petite ville du centre de la France, est bouleversée par l'arrivée de l'armée allemande. L'Occupation vient de commencer et va durer cinq ans. Hortense, Jean, Raymond, Marie étaient des Françaises et des Français ordinaires, maris, femmes, notables ou paysans... ils deviendront patriotes, traîtres, collaborateurs ou résistants. Après s'être effondrée, la France se reconstruit jour après jour, mais à l'heure allemande. Avec cette période incertaine et dangereuse de notre histoire s'ouvre une ère nouvelle : aux règles imposées par l'occupant répondent celles de la désobéissance civile ou de la clandestinité. On y a peur, on y a faim, on s'y déchire au nom des valeurs et d'une certaine idée de la France... ou parfois simplement par amour.","Drame,Historique",,,72,7,4.3,4.0,"Frédéric Krivine,Philippe Triboit,Emmanuel Daucé",Terminée,52 min,Un Village Français,
"Yuto Uemura,Yuto Uemura,Kenichiro Matsuda",Depuis 2019, Japon,"Depuis qu'Askeladd, un chef de guerre fourbe et sans honneur, a tué son père lorsqu'il était enfant, Thorfinn le suit partout dans le but de se venger. Mais bien qu'il soit devenu un guerrier redoutable, il ne parvient toujours pas à vaincre son ennemi. Au fil des ans, enchaînant missions périlleuses et combats afin d'obtenir des duels contre l'homme qu'il hait plus que tout, le gentil Thorfinn est devenu froid et solitaire, prisonnier de son passé et incapable d'aller de l'avant. Jusqu'à ce que la vie le force à regarder le monde différemment…","Aventure,Animation,Historique",,,48,2,4.3,5.0,,En cours,25 min,Vinland Saga,
"Andrew Koji,Andrew Koji,Olivia Cheng (II)",2019 - 2023, U.S.A.,"Au lendemain de la Guerre de Sécession, la ville de San Francisco est en proie à un terrible conflit impliquant le clan des Tong. Un jeune prodige des arts martiaux, Ah Sahm, fraîchement arrivé de Chine, se retrouve impliqué. Il découvre alors le quotidien sanglant de Chinatown...","Action,Arts Martiaux",,,30,3,4.3,5.0,Jonathan Tropper,Annulée,60 min,Warrior,
"Eun-Bin Park,Tae-oh Kang,Ki-young Kang",Depuis 2022, Corée du Sud,"Nouvelle recrue d'un grand cabinet, la brillante avocate autiste Woo Young-woo fait face aux épreuves dans la salle d'audience et en dehors.",Drame,,,16,2,4.3,4.5,,En cours,60 min,Extraordinary Attorney Woo,
"Robin Wright,Michael Kelly,Diane Lane",2013 - 1970, U.S.A.,"Frank Underwood, homme politique rusé et vieux briscard de Washington, est prêt à tout pour conquérir le poste ""suprême""...","Drame,Thriller",,,73,6,3.8,4.3,,Terminée,52 min,House of Cards,
"John Turturro,Riz Ahmed,Bill Camp",Depuis 2016, U.S.A.,"Au lendemain d'une virée nocturne bien arrosée, le jeune Naz, d'origine Pakistanaise, se réveille aux côtés d'une jeune femme baignant dans son sang. Cette dernière a été poignardée et il ne se souvient de rien. Inculpé pour ce meurtre, il est désormais prisonnier du système judiciaire où, parfois, la vérité passe au second plan. Un avocat bon marché mais tenace se propose de l'aider.","Policier,Drame",,,8,1,4.3,4.3,"Steven Zaillian,Richard Price",Terminée,58 min,The Night Of,
"James Franco,Sarah Gadon,Cherry Jones",2016, U.S.A.,"Professeur, Jake Epping n'a pas une vie palpitante. Les papiers du divorce signés, sa femme passe à autre chose et ses étudiants ne semblent pas passionnés par ses cours. Son univers bascule le jour où son vieil ami Al Templeton lui dévoile l'existence d'un portail temporel qui permet d'être propulsé en 1960. Il lui donne pour mission de remonter le temps afin de trouver un moyen d'empêcher le meurtre de JFK et ainsi transformer le présent en un monde meilleur. Mais changer le passé va se révéler bien plus dangereux qu'il ne le pensait...","Drame,Science Fiction,Thriller",,,8,1,3.6,4.3,Bridget Carpenter,Terminée,60 min,22.11.63,
"Kevin Costner,Kevin Costner,Luke Grimes",Depuis 2018, U.S.A.,"Une famille du Montana, qui possède le plus grand ranch des Etats-Unis, se bat pour que l'on n'empiète pas sur ses terres.","Drame,Western",,,53,5,2.7,4.3,"Taylor Sheridan,John Linson",En cours,42 min,Yellowstone,
"Luca Angeletti,Claudio Castrogiovanni,Simona Cavallari",2007 - 1970, Italie,"Une histoire qui commence dans la douleur lorsque, alors qu’il n’est qu’adolescent, Salvatore Riina assiste impuissant à la mort de son père et de son frère, tués tous deux par l’explosion des vestiges d’une bombe de la Seconde guerre mondiale. Devenu alors chef de famille, c’est un combat contre la pauvreté qui commence désormais pour lui. La détermination le gagnant, il créé son clan, avec Provenzano et Bagarella, et rejoint par la suite les plus grands criminels de Corleone, ville, avec Palerme, où il affirme sa domination. Son ascension sanglante se poursuit, à force de violence et de centaines de morts, le menant ainsi irrémédiablement au sommet de la plus célèbre organisation criminelle du pays. Un ami d’enfance, Biagio Schiro, a fait quant à lui le choix d’un autre chemin, celui de la police, qui l’installe dans une position délicate et l’amène à prendre de gros risques.","Biopic,Drame",,,6,1,4.3,4.0,,Terminée,100 min,Corleone,
"Dominic West,Reg E. Cathey,John Doman",2002 - 2008, U.S.A.,Quand la police s'efforce de démanteler un réseau tentaculaire de trafic de drogue et du crime à Baltimore.,"Policier,Drame,Judiciaire,Thriller",,,62,5,4.3,5.0,"David Simon (II),Ed Burns (II)",Terminée,58 min,Sur écoute,
"Kate Winslet,Julianne Nicholson,Jean Smart",2021, U.S.A.,"À Easttown, une petite ville de Pennsylvanie, une détective respectée ""Mare"" Sheehan enquête sur un meurtre local sordide tout en jonglant avec sa vie personnelle qui s’effondre rapidement autour d’elle. Elle fut au lycée une héroïne locale grâce à un tir de basket mémorable. Aujourd'hui, meurtrie par des tragédies personnelles, sa vie a pris un tournant inattendu, elle est la seule enquêtrice dans une brigade de police qui passe la plupart de son temps à traiter des infractions liées à la drogue  Elle porte en parallèle le poids de la perte de son fils et tente de gérer les responsabilités d'une famille bien remplie, incluant sa mère, sa fille et son petit-fils. Pour compliquer davantage les choses, son ex-mari vit à quelques pas de là, aux côtés de sa nouvelle compagne.  Sous la pression croissante, Mare n’a qu’une obsession : faire justice dans une ville où tout le monde est un suspect potentiel.","Policier,Drame",,,7,1,4.1,4.3,Brad Ingelsby,Terminée,60 min,Easttown,
"Seo In-guk,Park So-Dam,Go Yoon Jung",Depuis 2023, Corée du Sud,"Il est sans emploi depuis toujours, son ex-petite amie est passée à autre chose, et il vient de perdre toutes ses économies à cause d’une arnaque au bitcoin. Accablé par les pressions sociétales, Choi Yi Jae décide de se suicider. Insulté par son attitude désinvolte envers la mort, Death le punit : il doit revivre la mort encore et encore à travers 13 autres vies. Mais s’il parvient à trouver un moyen de survivre à la mort imminente durant l'une de ces autres vies, il pourra la vivre jusqu'au bout. Sa vie a été un fiasco... qu’en sera-t-il de ces autres vies ?","Fantastique,Drama",,,8,2,4.3,5.0,Ha Byung-hoon,En cours,60 min,Le Jeu de la Mort,
"Fanny Bloc,Adeline Chetail,Patrick Bethune",Depuis 2008, France,"Si tu rêves d’aventures, de quêtes dans des contrées enchanteresses ou hostiles, de créatures magiques et de rencontres hors du commun… Alors bienvenue ! Suis Yugo, un jeune garçon aux origines mystérieuses et aux pouvoirs magiques extraordinaires, à la recherche de sa vraie famille ! Accompagné de ses amis, il découvrira très vite que son destin s’est écrit dans les ruines d’un peuple oublié, et qu’il est intimement lié à celui du Monde des Douze.","Aventure,Animation,Fantastique",,,83,4,4.3,5.0,Anthony Roux,En cours,24 min,Wakfu,
"Dan Castellaneta,Dan Castellaneta,Nancy Cartwright",Depuis 1989, U.S.A.,"Les Simpson, famille américaine moyenne, vivent à Springfield. Homer, le père, a deux passions : regarder la télé et boire des bières. Mais son quotidien est rarement reposant, entre son fils Bart qui fait toutes les bêtises possibles, sa fille Lisa qui est une surdouée, ou encore sa femme Marge qui ne supporte pas de le voir se soûler à longueur de journée.","Animation,Comédie",,,790,36,4.3,3.5,Matt Groening,En cours,22 min,Les Simpson,
"Hugh Laurie,Robert Sean Leonard,Jesse Spencer",2004 - 2012, U.S.A.,"Le Dr Greg House est un médecin revêche qui ne fait confiance à personne, et encore moins à ses patients. Irrévérencieux et controversé, il n'en serait que plus heureux s'il pouvait ne pas adresser la parole à ses patients. Mais House est un brillant médecin. Et avec son équipe d'experts, il est prêt à tout pour résoudre les cas médicaux les plus mystérieux et sauver des vies.","Comédie dramatique,Drame,Médical",,,177,8,4.3,4.5,David Shore,Terminée,44 min,Dr House,
"Jae-wook Lee,Min-ho Hwang,Jung So-min",Depuis 2022, Corée du Sud,Une sorcière puissante incarnée dans le corps d'une femme aveugle rencontre un homme de très bonne famille qui sollicite son aide pour changer son destin.,"Drame,Fantastique,Arts Martiaux",,,30,2,4.3,4.0,,En cours,80 min,Alchemy of Souls,
